P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_NAME,S_MAG,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_ESI
HAT-P-40 b,152.55744,17.0392,4.45724,,0,HAT-P-40,11.699,0.22,1.03,1.94,,,6080,8.9533218,0.52545435,0.030837971,0.05351793,1608.8213,1613.5107,Jovian,4.6079358,5.7958479,3.4421013,0.46590446,0.054465893
HAT-P-41 b,378.21532,22.9805,2.69405,,0,HAT-P-41,11.087,0.21,2.56,2.05,,,6390,16.458098,0.71617667,0.031164538,0.051823488,2337.4725,1771.4608,Jovian,6.2776891,6.7649357,7.94184,0.63109943,0.04123942
HAT-P-42 b,331.81244,14.3488,4.641878,0.0575,0,HAT-P-42,12.168,0.27,1.18,1.53,,5.2,5743,23.124751,1.6116157,0.11231711,0.0575,690.06672,1305.773,Jovian,2.2815331,4.0782811,2.0186614,0.49756833,0.064427332
HAT-P-44 b,111.87546,13.92282,4.301219,0.0507,0.044,HAT-P-44,,0.33,0.94,0.95,,7.5,5295,8.0354021,0.57713897,0.041452735,0.050749078,247.51675,1010.1556,Jovian,0.63562316,2.1526015,0.86673152,0.49028018,0.068902393
HAT-P-45 b,283.50258,15.98546,3.128992,0.0452,0.049,HAT-P-45,,0.07,1.26,1.32,,2,6330,17.735028,1.1094474,0.069403536,0.045254263,1228.2774,1507.5555,Jovian,2.5064056,4.2745406,5.6562801,0.43369727,0.057896597
HAT-P-46 b,156.68921,14.39364,4.463129,0.0577,0.123,HAT-P-46,,0.3,1.28,1.4,,2.5,6120,10.886003,0.75630645,0.052544488,0.058136472,745.6055,1327.4931,Jovian,2.4634877,4.2377855,3.9639297,0.45249956,0.064136187
HAT-P-53 b,471.65676,14.77478,1.9616241,0.03159,0.134,HAT-P-53,13.73,0,1.09,1.21,,4.67,5956,31.923098,2.160648,0.14623893,0.031873615,1669.2194,1622.9304,Jovian,1.650738,3.4689884,2.8346631,0.47597757,0.061887128
HAT-P-55 b,184.9759,13.25022,3.5852467,0.04604,0.139,HAT-P-55,13.207,-0.03,1.01,1.01,,4.2,5808,13.960213,1.0535835,0.079514416,0.046484769,495.45448,1197.5938,Jovian,1.0400107,2.7534848,2.1430926,0.45590411,0.069688392
HAT-P-6 b,419.53296,16.5908,3.85298,,0,HAT-P-6,10.44,-0.13,1.79,1.62,,,6570,25.287085,1.5241631,0.091867966,0.058388197,1285.0796,1525.3778,Jovian,4.3810696,5.6513714,9.6034376,0.56014716,0.05595888
HAT-P-67 b,108.06152,23.37285,4.8101025,0.06505,0,HAT-P-67,10.069,-0.08,1.64,2.55,,1.24,6406,4.623378,0.19780977,0.008463228,0.06505,2318.5803,1767.8705,Jovian,9.8110784,8.4571132,7.0370987,0.43726334,0.040601024
HAT-P-69 b,1137.8243,18.78796,4.7869491,0.06555,0,HAT-P-69,,-0.069,1.65,1.93,,1.27,7394,60.561351,3.2234128,0.171568,0.06555,2321.5373,1768.4339,Jovian,9.9751871,8.5275504,38.498005,0.43989947,0.049644602
HAT-P-7 b,584.80353,16.9271,2.20474,,0,HAT-P-7,10.463,0.26,1.56,2,,,6389,34.548359,2.0410087,0.1205764,0.038440527,4041.1179,2031.2823,Jovian,5.9714554,6.5978717,6.7215571,0.5350479,0.05439675
HAT-P-70 b,2154.8739,20.9627,2.7443245,0.04739,0,HAT-P-70,,-0.059,1.89,1.86,,0.6,8450,102.79563,4.9037397,0.23392691,0.04739,7036.6825,2333.3877,Jovian,15.803067,10.733329,247.17132,0.40619756,0.04459505
HATS-1 b,589.57095,14.59542,3.446459,0.0444,0.12,HATS-1,12.053,,0.99,1.04,,,5870,40.394243,2.7675972,0.18962093,0.04471968,587.88373,1251.0884,Jovian,1.1505559,2.8961272,2.3681263,0.45979353,0.063736251
HATS-10 b,167.17753,10.86249,3.312846,0.04491,0.501,HATS-10,13.113,0.15,1.1,1.1,,3.3,5880,15.390351,1.4168345,0.13043367,0.050546227,742.43185,1261.2249,Jovian,1.2959353,3.0736572,2.4952757,0.45058292,0.081889194
HATS-13 b,172.58061,13.58652,3.0440499,0.04057,0.181,HATS-13,13.887,0.05,0.96,0.89,,2.5,5523,12.702341,0.9349223,0.068812492,0.041234557,407.93589,1137.8565,Jovian,0.66034187,2.1940584,1.2913598,0.41112313,0.068652447
HATS-14 b,340.39379,11.64719,2.7667641,0.03815,0.142,HATS-14,13.79,0.33,0.97,0.93,,4.9,5346,29.2254,2.5092233,0.21543593,0.038534628,439.34388,1161.9567,Jovian,0.63295139,2.1480726,0.95605872,0.46151033,0.078135431
HATS-31 b,279.68864,18.3844,3.37796,0.0478,0.233,HATS-31,13.105,0,1.27,1.87,,4.3,6050,15.213368,0.82751506,0.045011807,0.049097507,1889.1148,1662.2025,Jovian,4.1975256,5.5317233,3.5055993,0.49401199,0.050742785
HATS-32 b,292.40176,14.00129,2.8126548,0.04024,0.471,HATS-32,14.384,0.39,1.1,1.1,,3.5,5700,20.883916,1.4915708,0.10653096,0.044703441,801.1675,1294.3231,Jovian,1.1443884,2.8883545,1.8315438,0.45502341,0.065615001
HATS-33 b,378.85098,13.7883,2.5495551,0.03727,0.08,HATS-33,11.911,0.29,1.06,1.02,,3,5659,27.476265,1.9927231,0.14452276,0.037389264,690.43562,1304.377,Jovian,0.95597771,2.6399011,1.6860257,0.4380399,0.066718275
HATS-34 b,299.07615,16.0303,2.1061607,0.03166,0.108,HATS-34,13.849,0.25,0.95,0.98,,7.7,5380,18.656928,1.1638539,0.072603378,0.031844641,723.42876,1318.3761,Jovian,0.72089149,2.2924439,1.0065527,0.49417544,0.058351948
HATS-35 b,388.38582,16.41144,1.8209993,0.03199,0.306,HATS-35,12.56,0.21,1.32,1.43,,2.13,6300,23.665554,1.4420157,0.087866493,0.033487708,2962.396,1845.4866,Jovian,2.8861767,4.5869629,5.4560939,0.44512236,0.056042637
HATS-39 b,200.23164,17.5997,4.5776348,0.06007,0.275,HATS-39,12.746,0,1.38,1.62,,2.06,6572,11.376992,0.646431,0.03672966,0.062341397,1264.3565,1497.0899,Jovian,4.3864067,5.6548126,8.8361071,0.44925791,0.053071691
HATS-40 b,505.34652,17.7118,3.2642736,0.04997,0.312,HATS-40,13.377,0.01,1.56,2.26,,2.07,6460,28.53163,1.6108826,0.090949681,0.05240214,3359.3539,1902.9853,Jovian,7.969583,7.6222216,7.5935396,0.46837614,0.052248616
HATS-41 b,3082.9316,14.9093,4.193649,0.0583,0.38,HATS-41,12.681,0.47,1.5,1.71,,1.34,6424,206.7791,13.869135,0.93023383,0.06250926,1419.1572,1519.1686,Jovian,4.461727,5.7031562,7.0454095,0.42997122,0.061500204
HATS-42 b,597.51665,15.694,2.292102,0.03689,0.229,HATS-42,13.617,0.22,1.27,1.48,,3.26,6060,38.072935,2.4259548,0.15457849,0.037857274,1997.9386,1686.252,Jovian,2.6466869,4.3925333,3.5663458,0.47173237,0.05852623
HATS-43 b,82.953109,13.2278,4.3888497,0.04944,0.173,HATS-43,13.593,0.05,0.84,0.81,,8.6,5099,6.271119,0.47408632,0.035840149,0.050179845,165.05932,908.00119,Jovian,0.39737334,1.702014,0.5961597,0.48313408,0.074074148
HATS-44 b,177.98368,11.96107,2.7439004,0.03649,0.279,HATS-44,14.428,0.32,0.86,0.85,,9.7,5080,14.880247,1.2440565,0.1040088,0.037910209,337.15586,1075.3384,Jovian,0.4311033,1.7727784,0.58155763,0.49680537,0.077123898
HATS-45 b,222.4796,14.41606,4.1876244,0.05511,0.24,HATS-45,13.307,0.02,1.27,1.31,,1.52,6450,15.43276,1.0705255,0.074259232,0.056697168,902.59232,1381.0494,Jovian,2.6611545,4.4045224,6.9696258,0.41540017,0.063800363
HATS-46 b,54.984245,10.12263,4.7423729,0.05367,0.559,HATS-46,13.634,-0.06,0.92,0.85,,3,5495,5.4318141,0.53660107,0.053010045,0.062055428,247.11081,943.45879,Jovian,0.59019739,2.0742563,1.2133744,0.41783773,0.089876699
HATS-50 b,123.95292,12.6673,3.8297015,0.05046,0.516,HATS-50,14.033,,1.17,1.12,,1.2,5990,9.7852676,0.7724825,0.060982411,0.057177639,663.38433,1221.7136,Jovian,1.4468782,3.2477288,3.0769651,0.38858288,0.071901711
HATS-51 b,244.09191,15.8061,3.3488702,0.04639,0.33,HATS-51,12.471,,1.19,1.44,,4.74,5758,15.442893,0.97702106,0.061812911,0.048915936,1005.2829,1404.1449,Jovian,2.0422094,3.8584592,2.0771933,0.49132653,0.058675907
HATS-52 b,711.93473,15.49222,1.3666544,0.02498,0.246,HATS-52,13.669,,1.11,1.05,,1.2,6010,45.954339,2.9662849,0.19146932,0.025735845,2130.7651,1710.8826,Jovian,1.2887395,3.0651119,3.1291327,0.38182354,0.059177997
HATS-53 b,189.10766,15.0214,3.8537768,0.04753,0.33,HATS-53,13.79,,0.96,1.1,,9,5644,12.589217,0.83808545,0.055792765,0.050118009,515.84971,1188.4219,Jovian,1.1000743,2.8318796,1.5897453,0.50896627,0.062398556
HATS-54 b,241.54928,11.96107,2.5441828,0.03763,0.126,HATS-54,13.913,0.396,1.1,1.32,,6.6,5702,20.194622,1.6883624,0.1411548,0.037928707,1174.7677,1487.0699,Jovian,1.6502334,3.4684581,1.8378478,0.50576223,0.074852622
HATS-55 b,292.71959,14.02371,4.2042001,0.05412,0.092,HATS-55,13.47,0.108,1.2,1.13,,0.4,6214,20.873192,1.4884215,0.10613607,0.054349036,584.87184,1250.8878,Jovian,1.7058095,3.5263794,4.5595095,0.32630865,0.066013905
HATS-56 b,191.33246,18.92248,4.324799,0.06043,0.019,HATS-56,11.578,0.19,1.57,2.2,,1.894,6536,10.111384,0.53435827,0.028239336,0.060440908,2167.4815,1738.2185,Jovian,7.9137474,7.5954737,8.6711011,0.46247478,0.04935392
HATS-57 b,1000.2047,12.76819,2.350621,0.03493,0.028,HATS-57,12.344,0.268,1.03,0.96,,2.5,5587,78.33567,6.1352212,0.48050829,0.034943693,659.65816,1290.954,Jovian,0.80453659,2.4217911,1.475664,0.42088222,0.071417493
HATS-58 A b,327.36284,12.27495,4.2180896,0.05798,0.168,HATS-58 A,11.552,,1.46,1.43,,0.31,7175,26.669179,2.1726507,0.17699874,0.058798214,1465.2402,1567.8192,Jovian,4.8556608,5.9496024,25.370442,0.33386385,0.073001435
HATS-59 b,256.16937,12.62246,5.416081,0.06112,0.129,HATS-59,13.951,0.18,1.04,1.04,,4.3,5670,20.294726,1.6078265,0.12737822,0.061628549,270.37393,1029.8439,Jovian,1.0015844,2.7021382,1.7073163,0.46218306,0.074463191
HATS-60 b,210.40214,12.92513,3.560829,0.04708,0.191,HATS-60,12.641,0.335,1.1,1.46,,7.55,5688,16.278532,1.2594482,0.097441819,0.047938763,918.81835,1392.9479,Jovian,1.9990917,3.8175095,1.7941712,0.51722585,0.070206009
HATS-61 b,1080.6152,13.39595,7.817953,0.07908,0.092,HATS-61,13.233,0.247,1.08,1.66,,8.9,5542,80.667307,6.0217682,0.44952155,0.079414667,374.01011,1118.5979,Jovian,2.3290076,4.1204934,1.3876322,0.52836141,0.069729325
