P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_NAME,S_MAG,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_ESI
K2-27 b,30.899238,4.484,6.771315,0.06702,0.251,K2-27,12.64,0.13,0.87,0.89,,10.3,5248,6.8909987,1.5367972,0.34272908,0.069131164,123.8128,839.58401,Neptunian,0.53832428,1.9810058,0.77913763,0.50373732,0.17180369
K2-287 b,100.11582,9.49487,14.893291,0.1206,0.478,K2-287,11.41,0.2,1.06,1.07,,4.5,5695,10.544201,1.1105156,0.11695954,0.13437759,84.462519,736.38798,Jovian,1.079024,2.8046542,1.7935953,0.46866467,0.10308263
K2-290 b,10.901501,3.06033,9.21165,0.0923,0,K2-290,11.114,-0.06,1.19,1.51,,4,6302,3.5621977,1.1639914,0.38034831,0.0923,378.22718,1123.5259,Neptunian,3.222227,4.846652,5.2888966,0.47762145,0.21039111
K2-290 c,245.99887,11.27726,48.36685,0.305,0,K2-290,11.114,-0.06,1.19,1.51,,4,6302,21.813709,1.9343093,0.17152299,0.305,34.638291,618.06482,Jovian,3.222227,4.846652,5.2888966,0.47762145,0.10791193
K2-291 b,6.4900478,1.59182,2.225177,0.03261,0,K2-291,10.014,0.08,0.93,0.9,,3.72,5520,4.0771242,2.5612972,1.609037,0.03261,633.61927,1278.2094,Superterran,0.6737984,2.2163011,1.2711969,0.4346533,0.2768656
K2-39 b,28.60452,6.2776,4.60543,,0,K2-39,10.83,0.32,0.66,2.97,,,4881,4.5566013,0.72585084,0.11562553,0.047156075,2017.2581,1707.4,Jovian,4.4857677,5.7185004,0.37826583,0.40166665,0.12709936
K2-66 b,21.300833,2.48862,5.06963,0.05983,0,K2-66,11.71,-0.047,1.11,1.67,,,5887,8.559295,3.439374,1.3820406,0.05983,838.41633,1370.9128,Neptunian,3.0012193,4.6774875,2.5330949,0.47766724,0.23275831
K2-77 b,603.87321,2.29805,8.199796,,0.14,K2-77,12.158,0.29,0.8,0.76,,0.85,4970,262.77636,114.34754,49.758506,0.074583647,58.455211,701.84517,Jovian,0.31574857,1.5171708,0.46994853,0.32321486,0.26217887
KELT-1 b,8654.4565,12.4431,1.217514,0.02466,0.0099,KELT-1,10.701,,1.32,1.46,,,6518,695.52254,55.896243,4.4921476,0.024661208,5668.745,2210.5924,Jovian,3.4470833,5.0129072,7.9347921,0.50606827,0.071593243
KELT-12 b,301.9366,19.9538,5.031623,0.06708,0,KELT-12,10.59,0.19,1.59,2.37,,2.2,6279,15.131785,0.75834099,0.038004841,0.06708,1738.4458,1645.0731,Jovian,7.8225306,7.5515727,5.5995667,0.47616886,0.047131737
KELT-15 b,416.35468,19.5054,3.32944,,0,KELT-15,11.189,0.05,2.06,1.78,,,6003,21.345611,1.0943437,0.056104651,0.055511047,1196.3085,1498.3239,Jovian,3.6863963,5.1839975,3.7994077,0.58700284,0.048394917
KELT-3 b,616.58633,17.4876,2.70339,,0,KELT-3,9.873,0.05,1.96,1.7,,,6304,35.258487,2.0161993,0.11529308,0.047519009,1810.9921,1661.9733,Jovian,4.089322,5.4599596,6.2674906,0.57734643,0.053127397
KOI-12 b,1690.845,17.2634,17.85523,,0.72,KOI-12,11.353,0.09,1.82,1.75,,,6820,97.943914,5.6735008,0.3286433,0.20549679,321.17249,947.34952,Jovian,5.9361141,6.5783184,14.837555,0.56325915,0.056443526
KOI-13 b,2949.4439,16.94952,1.763588,0.03641,0.00064,KOI-13,9.958,0.2,1.72,1.74,,,7650,174.01341,10.266569,0.60571443,0.036410007,7007.96,2331.0027,Jovian,9.2903673,8.2296282,60.598135,0.55274813,0.054220598
KOI-3680 b,613.40805,11.0979,141.24167,0.534,0.496,KOI-3680,14.77,0.16,1.01,0.96,,3.2,5830,55.272443,4.9804416,0.44877333,0.59968627,3.8524921,338.90719,Jovian,0.95390545,2.6370383,2.2256432,0.43570274,0.27810987
KOI-94 b,10.488324,1.71513,3.743208,0.05119,0.25,KOI-94,12.205,0.023,1.28,1.52,,3.16,6182,6.1151773,3.5654308,2.0788108,0.052789688,1191.6149,1478.9376,Neptunian,3.0233737,4.6947199,4.4094585,0.47051775,0.26992414
KOI-94 c,15.573572,4.31585,10.423648,0.1013,0.43,KOI-94,12.205,0.023,1.28,1.52,,3.16,6182,3.60846,0.83609486,0.19372658,0.11066518,326.33788,1042.7378,Neptunian,3.0233737,4.6947199,4.4094585,0.47051775,0.17027042
KOI-94 d,106.15455,11.26605,22.342989,0.1684,0.022,KOI-94,12.205,0.023,1.28,1.52,,3.16,6182,9.4225174,0.83636389,0.074237544,0.16844075,106.63819,818.62248,Jovian,3.0233737,4.6947199,4.4094585,0.47051775,0.087951165
KOI-94 e,34.96108,6.55785,54.32031,0.3046,0.019,KOI-94,12.205,0.023,1.28,1.52,,3.16,6182,5.3311802,0.81294635,0.12396538,0.30465498,32.591956,608.68573,Jovian,3.0233737,4.6947199,4.4094585,0.47051775,0.15583052
Kepler-10 b,4.608506,1.47972,0.837491,0.0172,,Kepler-10,10.94,-0.15,0.91,1.06,,,5627,3.1144446,2.1047527,1.4223993,0.0172,3411.5453,1947.0751,Terran,1.0092716,2.7124878,1.516702,0.44705908,0.28018964
Kepler-10 c,17.162712,2.3541,45.294301,,0,Kepler-10,10.94,-0.15,0.91,1.06,,,5627,7.290562,3.0969636,1.3155616,0.24092715,17.387476,520.24037,Neptunian,1.0092716,2.7124878,1.516702,0.44705908,0.30816291
Kepler-107 b,3.5088212,1.53577,3.1800218,0.04544,0,Kepler-107,12.7,0.321,1.24,1.45,,4.29,5854,2.2847309,1.4876778,0.96868525,0.04544,1071.4179,1457.5875,Superterran,2.2122567,4.0158875,2.4834903,0.48990095,0.27857264
Kepler-107 c,9.3886392,1.59182,4.901452,0.06064,0,Kepler-107,12.7,0.321,1.24,1.45,,4.29,5854,5.8980533,3.7052263,2.3276666,0.06064,601.6129,1261.7526,Superterran,2.2122567,4.0158875,2.4834903,0.48990095,0.27698097
Kepler-107 d,3.8012229,0.86317,7.95839,0.08377,0,Kepler-107,12.7,0.321,1.24,1.45,,4.29,5854,4.403794,5.1018849,5.9106374,0.08377,315.25247,1073.5185,Terran,2.2122567,4.0158875,2.4834903,0.48990095,0.29544866
Kepler-107 e,8.6004258,2.90339,14.749143,0.12639,0,Kepler-107,12.7,0.321,1.24,1.45,,4.29,5854,2.9622013,1.0202561,0.35140167,0.12639,138.48735,873.97183,Neptunian,2.2122567,4.0158875,2.4834903,0.48990095,0.22240528
Kepler-11 b,1.906968,1.80481,10.3039,0.091,0.045,Kepler-11,14.2,-0.041,0.96,1.06,,8.5,5663,1.0566032,0.58543735,0.32437617,0.091092138,125.15379,851.80635,Superterran,1.0353487,2.7473063,1.642494,0.50414067,0.27512826
Kepler-11 c,2.860452,2.86976,13.0241,0.107,0.026,Kepler-11,14.2,-0.041,0.96,1.06,,8.5,5663,0.99675653,0.34733097,0.12103136,0.10703617,90.461942,785.60874,Neptunian,1.0353487,2.7473063,1.642494,0.50414067,0.22857296
Kepler-11 d,7.3100441,3.11638,22.6845,0.155,0.004,Kepler-11,14.2,-0.041,0.96,1.06,,8.5,5663,2.3456844,0.75269525,0.24152871,0.15500124,43.094982,652.75511,Neptunian,1.0353487,2.7473063,1.642494,0.50414067,0.23329277
Kepler-11 e,7.9457001,4.19254,31.9996,0.195,0.012,Kepler-11,14.2,-0.041,0.96,1.06,,8.5,5663,1.8951996,0.4520409,0.1078203,0.19501404,27.230065,581.96293,Neptunian,1.0353487,2.7473063,1.642494,0.50414067,0.21217238
Kepler-11 f,1.906968,2.48862,46.6888,0.25,0.013,Kepler-11,14.2,-0.041,0.96,1.06,,8.5,5663,0.76627529,0.30791173,0.1237279,0.25002113,16.566978,513.97495,Superterran,1.0353487,2.7473063,1.642494,0.50414067,0.30453575
Kepler-11 g,25.108412,3.32937,118.3807,0.466,0.15,Kepler-11,14.2,-0.041,0.96,1.06,,8.5,5663,7.5414905,2.2651404,0.68035105,0.4712425,4.8223242,375.9319,Neptunian,1.0353487,2.7473063,1.642494,0.50414067,0.39980375
Kepler-12 b,137.3017,19.66234,4.4379629,0.0553,,Kepler-12,13.8,0.07,1.17,1.48,,,5947,6.9829785,0.35514483,0.018062185,0.0553,802.70056,1356.0737,Jovian,2.4547306,4.2302466,2.8578505,0.48612327,0.048472437
Kepler-14 b,2669.7552,12.73456,6.790123,,0.035,Kepler-14,12.128,0.12,1.51,2.05,,2.2,6395,209.64644,16.462794,1.2927651,0.080541471,972.56237,1422.4089,Jovian,6.2973606,6.7755266,6.7178564,0.46804499,0.071058657
Kepler-145 b,37.185876,2.64556,22.951,,,Kepler-145,11.931,,1.28,1.98,,,6022,14.055956,5.3130363,2.0082842,0.17157235,156.9233,901.70975,Neptunian,4.6193624,5.8030296,3.3497037,0.50090394,0.23234701
Kepler-145 c,79.457001,4.31585,42.882,,,Kepler-145,11.931,,1.28,1.98,,,6022,18.41051,4.2657901,0.98840091,0.26027328,68.190341,732.1088,Jovian,4.6193624,5.8030296,3.3497037,0.50090394,0.18387844
Kepler-15 b,209.76648,10.7616,4.942782,0.05714,0.06,Kepler-15,13.758,0.36,1.02,0.99,,3.7,5515,19.492128,1.8112667,0.16830831,0.057242852,249.25494,1011.608,Jovian,0.81234611,2.4335167,1.2997345,0.44784237,0.085422066
Kepler-16 b,105.83672,8.45234,228.776,0.7048,0.0069,Kepler-16,11.762,-0.3,0.69,0.65,,,4450,12.521589,1.4814346,0.17526916,0.70481678,0.29883671,188.3647,Jovian,0.14844152,1.040259,0.18308608,0.40766256,0.32434463
Kepler-1647 b,482.99686,11.87139,1107.5923,2.7205,0.0581,Kepler-1647,13.545,-0.14,1.22,1.79,,4.4,6210,40.685788,3.4272135,0.28869521,2.7250917,0.57782708,221.98268,Jovian,4.2693436,5.5788454,4.5533026,0.48931316,0.37351425
Kepler-1656 b,48.59908,5.02208,31.578659,0.197,0.836,Kepler-1656,11.64,0.19,1.03,1.1,,6.31,5731,9.677082,1.9269072,0.38368707,0.26584126,54.916764,564.28896,Neptunian,1.1694877,2.9198571,1.889855,0.49110626,0.17059664
Kepler-1658 b,1868.8287,11.9947,3.8493728,0.0544,0.0628,Kepler-1658,11.432,-0.18,1.45,2.89,,,6216,155.80453,12.989448,1.0829323,0.054507272,3782.5845,1996.5049,Jovian,11.171934,9.0245997,4.873107,0.52216424,0.074037482
Kepler-18 b,6.9922161,1.99538,3.504725,0.0447,0,Kepler-18,13.549,0.19,0.97,1.11,,10,5345,3.5042027,1.7561581,0.8801121,0.0447,450.93131,1174.0119,Superterran,0.90100135,2.5628695,0.95441762,0.51977504,0.25784257
Kepler-18 c,17.162712,5.4929,7.64159,0.0752,0,Kepler-18,13.549,0.19,0.97,1.11,,10,5345,3.1245266,0.56883005,0.10355733,0.0752,159.32714,905.14332,Neptunian,0.90100135,2.5628695,0.95441762,0.51977504,0.14734803
Kepler-18 d,16.527056,6.98383,14.85888,0.1172,0,Kepler-18,13.549,0.19,0.97,1.11,,10,5345,2.3664746,0.33885054,0.048519299,0.1172,65.594922,725.04083,Jovian,0.90100135,2.5628695,0.95441762,0.51977504,0.13323071
Kepler-20 b,9.7001106,1.87207,3.6961153,0.0463,0.03,Kepler-20,12.51,0.07,0.95,0.96,,7.6,5495,5.1814893,2.7677861,1.4784629,0.046320835,351.34634,1102.822,Superterran,0.75283864,2.3426894,1.2264225,0.49309997,0.26485517
Kepler-20 c,12.751259,3.04912,10.854091,0.0949,0.16,Kepler-20,12.51,0.07,0.95,0.96,,7.6,5495,4.1819474,1.371526,0.44981044,0.09611472,84.683897,769.10851,Neptunian,0.75283864,2.3426894,1.2264225,0.49309997,0.22219415
Kepler-20 d,10.068791,2.74645,77.6113,0.3506,,Kepler-20,12.51,0.07,0.95,0.96,,7.6,5495,3.6661112,1.3348545,0.48602906,0.3506,6.1246049,400.78774,Neptunian,0.75283864,2.3426894,1.2264225,0.49309997,0.39391671
Kepler-25 b,8.7402701,2.74645,6.238297,,0.0029,Kepler-25,10.734,-0.04,1.19,1.31,,11,6270,3.1823882,1.1587279,0.42190023,0.070264787,481.31723,1193.3067,Neptunian,2.3763007,4.1621188,5.0059823,0.56533509,0.2224943
Kepler-25 c,15.223961,5.21265,12.7207,,0.0061,Kepler-25,10.734,-0.04,1.19,1.31,,11,6270,2.92058,0.56028699,0.10748602,0.11299016,186.142,941.02891,Neptunian,2.3763007,4.1621188,5.0059823,0.56533509,0.15190586
Kepler-27 b,2895.4131,4.00197,15.3348,0.118,,Kepler-27,15.855,0.41,0.65,0.59,,,5400,723.49695,180.7852,45.174052,0.118,19.045996,532.22569,Jovian,0.26519645,1.3904252,0.91795659,0.39962769,0.2349503
Kepler-27 c,4386.0264,4.89877,31.3309,0.191,,Kepler-27,15.855,0.41,0.65,0.59,,,5400,895.33218,182.76673,37.308698,0.191,7.2694403,418.3311,Jovian,0.26519645,1.3904252,0.91795659,0.39962769,0.2887916
Kepler-289 b,7.3100441,2.15232,34.545,0.21,,Kepler-289,13.956,0.05,1.08,1,,0.65,5990,3.3963556,1.5779975,0.73316119,0.21,26.155158,576.14825,Superterran,1.1534425,2.8997579,2.9959545,0.34160035,0.29581711
Kepler-289 c,133.48776,11.59114,125.8518,0.51,,Kepler-289,13.956,0.05,1.08,1,,0.65,5990,11.516362,0.99354866,0.085716216,0.51,4.4346115,369.70796,Jovian,1.1534425,2.8997579,2.9959545,0.34160035,0.25603886
Kepler-289 d,4.131764,2.67919,66.0634,0.33,,Kepler-289,13.956,0.05,1.08,1,,0.65,5990,1.5421691,0.5756102,0.21484486,0.33,10.591758,459.60731,Neptunian,1.1534425,2.8997579,2.9959545,0.34160035,0.33179386
Kepler-30 b,11.441808,3.90108,29.33434,0.18,0.042,Kepler-30,15.403,0.18,0.99,0.95,,2,5498,2.9329847,0.75183916,0.1927259,0.18015876,22.824074,556.67207,Neptunian,0.73884748,2.3208185,1.2498244,0.40019799,0.22879084
Kepler-30 c,638.83429,12.29737,60.323105,0.3,0.0111,Kepler-30,15.403,0.18,0.99,0.95,,2,5498,51.948854,4.2243873,0.34351958,0.30001848,8.2099223,431.24059,Jovian,0.73884748,2.3208185,1.2498244,0.40019799,0.18309931
Kepler-30 d,23.201444,8.79985,143.34394,0.5,0.022,Kepler-30,15.403,0.18,0.99,0.95,,2,5498,2.6365727,0.29961564,0.034047812,0.500121,2.9561054,334.02998,Jovian,0.73884748,2.3208185,1.2498244,0.40019799,0.33744279
Kepler-31 c,1493.7916,5.30233,42.6318,0.26,,Kepler-31,15.237,-0.076,1.21,1.22,,,6340,281.72362,53.132042,10.020508,0.26,31.872684,605.34028,Jovian,2.1545935,3.9632041,5.67715,0.49160118,0.1790126
Kepler-31 d,2161.2304,3.90108,87.6451,0.4,,Kepler-31,15.237,-0.076,1.21,1.22,,,6340,554.00823,142.01406,36.403781,0.4,13.466209,488.04093,Jovian,2.1545935,3.9632041,5.67715,0.49160118,0.2607488
Kepler-34 b,69.922161,8.56444,288.822,1.0896,0.182,Kepler-34,14.875,-0.07,1.05,1.16,,,5913,8.164242,0.95327213,0.11130583,1.107646,1.2624569,268.35721,Jovian,1.4737918,3.2777954,2.6001953,0.46890071,0.43477106
Kepler-35 b,40.364156,8.16088,131.458,0.60347,0.042,Kepler-35,15.726,-0.34,0.89,1.03,,,5606,4.9460544,0.60606875,0.074265122,0.60400226,2.580165,322.78475,Jovian,0.93880516,2.6160829,1.4521606,0.44375963,0.3652447
Kepler-36 b,4.449592,1.49093,13.83989,0.1153,0.039,Kepler-36,11.866,-0.2,1.07,1.63,,6.8,5911,2.9844406,2.0017309,1.3426055,0.11538769,218.76589,979.52574,Terran,2.9060808,4.6027525,2.6076256,0.50362149,0.28560344
Kepler-36 c,7.9457001,3.67688,16.23855,0.1283,0.033,Kepler-36,11.866,-0.2,1.07,1.63,,6.8,5911,2.1609898,0.58772377,0.15984306,0.12836986,176.64078,928.60052,Neptunian,2.9060808,4.6027525,2.6076256,0.50362149,0.19216014
Kepler-4 b,24.472756,4.00197,3.21346,0.0456,0,Kepler-4,12.7,0.17,1.22,1.49,,4.5,5857,6.1151773,1.5280418,0.38182239,0.0456,1125.7252,1475.7168,Neptunian,2.340788,4.1309012,2.4828294,0.49114931,0.17639753
Kepler-413 b,67.061709,4.34948,66.262,0.3553,0.1181,Kepler-413,15.52,-0.2,0.82,0.78,,,4700,15.418328,3.5448669,0.81500936,0.35777779,2.1219194,306.6794,Jovian,0.26599243,1.3925103,0.29797036,0.4318064,0.4895165
Kepler-419 b,794.57001,10.7616,69.7546,0.37,0.833,Kepler-419,13.005,0.176,1.39,1.74,,,6430,73.833817,6.8608587,0.63753147,0.49836947,61.219266,581.34133,Jovian,4.6369353,5.8140571,6.9399679,0.51486029,0.098454128
Kepler-422 b,136.66604,12.8915,7.8914483,0.082,,Kepler-422,13.435,0.23,1.15,1.24,,,5972,10.601252,0.82234434,0.063789655,0.082,260.60546,1023.6248,Jovian,1.7523111,3.574122,2.9661728,0.48333741,0.073298719
Kepler-424 b,327.36284,9.9769,3.3118644,0.044,,Kepler-424,14.256,0.44,1.01,0.94,,,5460,32.81208,3.2888051,0.32964199,0.044,363.42063,1112.365,Jovian,0.70358233,2.264755,1.1786691,0.46286917,0.089547019
Kepler-432 b,1719.4495,12.83545,52.501129,0.301,0.5134,Kepler-432,12.465,-0.07,1.32,4.06,,4.2,4995,133.96098,10.436797,0.81312277,0.34066872,118.24609,794.34208,Jovian,9.1935382,8.1866291,0.57969279,0.49845317,0.078446618
Kepler-433 b,896.27497,16.2545,5.3340838,0.0679,0.119,Kepler-433,14.463,-0.01,1.46,2.26,,2.67,6360,55.140113,3.3922983,0.20869902,0.068380766,1635.654,1615.8746,Jovian,7.4874509,7.388066,6.2552099,0.47799975,0.056822025
Kepler-434 b,908.98809,12.6673,12.87471,0.1143,0.131,Kepler-434,14.517,0.25,1.2,1.38,,4,5977,71.758629,5.6648717,0.44720435,0.11528075,168.13038,914.42645,Jovian,2.1776087,3.9843152,3.0345072,0.4789556,0.076627416
Kepler-435 b,266.97552,22.3079,8.6001536,0.0948,0.114,Kepler-435,13.643,-0.18,1.54,3.21,,2.25,6161,11.967757,0.53648065,0.024048909,0.09541601,1489.7981,1578.9291,Jovian,13.30159,9.8472632,4.5236296,0.47289222,0.04264271
Kepler-453 b,15.999462,6.19913,240.503,0.7903,0.0359,Kepler-453,13.552,0.09,0.94,0.83,,2.49,5527,2.5809205,0.41633592,0.067160378,0.79080927,0.92278126,249.64024,Jovian,0.57597375,2.0491093,1.2911716,0.40797543,0.48854655
Kepler-5 b,670.93491,15.98546,3.5484657,0.0538,,Kepler-5,13.369,0.04,1.37,1.79,,,6297,41.971574,2.6256094,0.16424985,0.0538,1559.4266,1600.9809,Jovian,4.5136666,5.7362558,5.4957339,0.51237899,0.057713636
Kepler-51 b,2.224796,7.09593,45.154,0.2514,0.04,Kepler-51,14.669,,1.04,0.94,,0.3,6018,0.31353128,0.044184663,0.006226761,0.25160112,16.442591,512.86977,Jovian,1.0383723,2.751315,3.1042954,0.29654424,0.17818013
Kepler-51 c,4.131764,9.00163,85.312,0.384,0.014,Kepler-51,14.669,,1.04,0.94,,0.3,6018,0.45900176,0.05099096,0.005664636,0.38403763,7.0426029,415.01351,Jovian,1.0383723,2.751315,3.1042954,0.29654424,0.22393934
Kepler-51 d,7.6278721,9.69665,130.194,0.509,0.008,Kepler-51,14.669,,1.04,0.94,,0.3,6018,0.78665024,0.08112598,0.008366393,0.50901629,4.0080342,360.47283,Jovian,1.0383723,2.751315,3.1042954,0.29654424,0.28523395
Kepler-56 b,22.24796,6.51301,10.5016,0.1028,,Kepler-56,12.44,0.2,1.32,4.23,,3.5,4840,3.415926,0.52447731,0.080527638,0.1028,832.46235,1368.4725,Jovian,8.7973289,8.0082788,0.4441704,0.48353453,0.12431121
Kepler-56 c,181.16196,9.79754,21.40239,0.1652,,Kepler-56,12.44,0.2,1.32,4.23,,3.5,4840,18.490556,1.8872652,0.19262643,0.1652,322.35228,1079.5123,Jovian,8.7973289,8.0082788,0.4441704,0.48353453,0.091286013
Kepler-6 b,212.30911,14.61784,3.2346996,0.04852,,Kepler-6,13.303,0.34,1.21,1.39,,,5647,14.523972,0.99357856,0.067970272,0.04852,747.73518,1332.2381,Jovian,1.760311,3.5822713,1.7261185,0.49160118,0.063264606
Kepler-63 b,120.13899,6.10945,9.4341505,0.08,0.45,Kepler-63,12.02,0.05,0.98,0.9,,0.21,5576,19.664452,3.2186943,0.52683863,0.0881,122.74941,813.38038,Jovian,0.70155985,2.2614976,1.424218,0.27394922,0.13847668
Kepler-7 b,140.16215,18.18262,4.8854892,0.06067,,Kepler-7,12.885,0.11,1.36,1.97,,,5933,7.7085782,0.42395311,0.023316392,0.06067,1170.4975,1490.1759,Jovian,4.3084246,5.6043212,2.9334467,0.51112928,0.051596948
Kepler-79 b,10.901501,3.4751,13.4845,0.117,0.015,Kepler-79,13.914,-0.073,1.17,1.3,,3.44,6174,3.1370322,0.90271709,0.25976723,0.11701316,160.73816,907.10243,Neptunian,2.2000971,4.0048356,4.2209313,0.46314097,0.19958701
Kepler-79 c,6.0387321,3.72172,27.4029,0.187,0.03,Kepler-79,13.914,-0.073,1.17,1.3,,3.44,6174,1.6225648,0.43597177,0.11714255,0.18708415,62.943974,717.48053,Neptunian,2.2000971,4.0048356,4.2209313,0.46314097,0.20291472
Kepler-79 d,6.0387321,7.16319,52.0902,0.287,0.025,Kepler-79,13.914,-0.073,1.17,1.3,,3.44,6174,0.84302274,0.11768817,0.016429576,0.28708969,26.718607,579.15853,Jovian,2.2000971,4.0048356,4.2209313,0.46314097,0.15415122
Kepler-79 e,4.131764,3.48631,81.0659,0.386,0.012,Kepler-79,13.914,-0.073,1.17,1.3,,3.44,6174,1.1851396,0.33994097,0.097507383,0.38602779,14.767212,499.41063,Neptunian,2.2000971,4.0048356,4.2209313,0.46314097,0.26872179
Kepler-8 b,187.51852,15.87336,3.5224991,0.0474,,Kepler-8,13.9,-0.055,1.21,1.49,,,6213,11.813411,0.74422874,0.046885394,0.0474,1319.1978,1535.403,Jovian,2.9639208,4.6483313,4.5642916,0.49160118,0.058203398
Kepler-87 b,324.18456,13.49684,114.73635,0.481,0.036,Kepler-87,14.6,-0.17,1.1,1.82,,7.5,5600,24.019294,1.7796235,0.13185483,0.48131169,12.62336,480.10149,Jovian,2.9186602,4.6127035,1.5424302,0.51665338,0.14237249
Kepler-87 c,6.3565601,6.14308,191.2318,0.676,0.039,Kepler-87,14.6,-0.17,1.1,1.82,,7.5,5600,1.0347513,0.16844178,0.027419759,0.6765141,6.3917631,404.97305,Jovian,2.9186602,4.6127035,1.5424302,0.51665338,0.27526606
Kepler-9 b,43.399414,8.2954,19.23891,0.143,0.0609,Kepler-9,13.803,0.05,1.02,0.96,,2,5774,5.2317445,0.6306802,0.076027702,0.14326518,44.964836,659.26596,Jovian,0.91777924,2.5866215,2.0281459,0.40420023,0.1251161
Kepler-9 c,29.901259,8.08241,38.9853,0.227,0.06691,Kepler-9,13.803,0.05,1.02,0.96,,2,5774,3.6995473,0.45772824,0.056632643,0.22750813,17.85093,523.23267,Jovian,0.91777924,2.5866215,2.0281459,0.40420023,0.16120802
Kepler-93 b,3.17828,1.5694,4.72674,,0,Kepler-93,9.931,-0.18,1.09,0.98,,,5669,2.0251561,1.2904015,0.82222601,0.056714337,276.30001,1038.7,Superterran,0.88872342,2.5453475,1.7312731,0.47478096,0.28071655
Kepler-95 b,13.030948,3.41905,11.5231,,,Kepler-95,12.346,0.3,1.08,1.41,,5.63,5699,3.8112774,1.1147182,0.32603157,0.10241503,179.14063,932.05906,Neptunian,1.8789772,3.7010463,1.8172509,0.48953546,0.20075646
Kepler-96 b,8.5813561,2.66798,16.2385,,,Kepler-96,10.297,0.04,1,1.02,,2.34,5690,3.2164244,1.2055654,0.45186449,0.12547008,62.066566,715.08775,Neptunian,0.97709784,2.6689031,1.7440485,0.41218686,0.24357097
Kepler-97 b,3.496108,1.47972,2.58664,,,Kepler-97,12.872,-0.2,0.94,0.98,,8.42,5779,2.3626821,1.5967089,1.0790615,0.036116819,735.75393,1326.869,Terran,0.95973554,2.6450846,1.9906994,0.49982672,0.28166726
Kepler-98 b,3.496108,1.99538,1.54168,,,Kepler-98,12.899,0.18,0.99,1.11,,2.79,5539,1.7521014,0.87807904,0.44005605,0.026024602,1534.2349,1594.4756,Superterran,1.0391065,2.7522875,1.3410341,0.42302945,0.25574774
Kepler-99 b,6.0387321,1.47972,4.60358,,,Kepler-99,12.97,0.18,0.79,0.73,,1.47,4782,4.0809964,2.7579518,1.8638335,0.050055182,99.649371,804.94008,Superterran,0.24967362,1.3491185,0.33881229,0.35263067,0.29357285
Lupus-TR-3 b,257.44068,9.9769,3.91405,0.0464,0,Lupus-TR-3,,,0.87,0.82,,,5000,25.803675,2.5863419,0.25923302,0.0464,174.88816,926.47779,Jovian,0.37652721,1.656769,0.50883494,0.44041038,0.092756085
NGTS-4 b,20.598433,3.18364,1.3373508,0.019,0,NGTS-4,,-0.28,0.75,0.84,,,5143,6.4700886,2.0322928,0.63835508,0.019,1225.1975,1507.2887,Neptunian,0.44229631,1.7956448,0.61913563,0.419152,0.20339169
OGLE-TR-182 b,321.00628,12.6673,3.9791,0.051,0,OGLE-TR-182,,,1.14,1.14,,,5924,25.341334,2.0005316,0.15792881,0.051,551.33834,1234.5238,Jovian,1.434031,3.233278,2.723444,0.48193235,0.072229665
OGLE-TR-211 b,327.36284,15.2456,3.67724,0.051,0,OGLE-TR-211,,,1.33,1.64,,,6325,21.472611,1.4084464,0.092383799,0.051,1482.7847,1580.9365,Jovian,3.8567231,5.3024063,5.7098849,0.507343,0.060254937
OGLE2-TR-L9 b,1430.226,18.0481,2.4855335,0.0308,,OGLE2-TR-L9,,,1.52,1.53,,,6933,79.24524,4.3907802,0.24328213,0.0308,5108.0469,2153.8161,Jovian,4.8456976,5.9434953,16.966713,0.53043519,0.051251637
Qatar-1 b,411.26944,12.81303,1.4200242,0.02332,0,Qatar-1,12.843,0.171,0.84,0.8,,,5013,32.09775,2.5050866,0.19551087,0.02332,665.88978,1294.1824,Jovian,0.36212578,1.624776,0.51427625,0.43528886,0.071185251
Qatar-2 b,792.66304,14.05734,1.3371165,0.02153,0,Qatar-2,13.3,0.02,0.74,0.78,,5,4645,56.38784,4.0112738,0.28535084,0.02153,547.43513,1232.333,Jovian,0.25375857,1.3601103,0.26198466,0.42312018,0.066000207
TOI 150.01,556.19901,15.4698,5.857342,0.0583,0,TOI 150,,0.235,1.25,1.55,,4.3,6003,35.953859,2.3241321,0.15023672,0.0583,822.40986,1364.3223,Jovian,2.7952806,4.5141551,3.2165983,0.49140502,0.060046401
TOI 172 b,1722.6278,10.81765,9.47725,0.0914,0.3806,TOI 172,,0.148,1.13,1.78,,7.4,5645,159.24233,14.720603,1.3607949,0.098019936,373.1406,1087.7374,Jovian,2.8826004,4.5841201,1.6814195,0.52014322,0.083620654
TOI 216.01,199.99963,11.28847,34.556,0.2069,0.029,TOI 216,12.324,0.32,0.87,0.84,,,5026,17.71716,1.5694917,0.13903493,0.206987,9.4275506,446.35059,Jovian,0.40340117,1.7148745,0.53207884,0.44041038,0.17714874
